invoice_number	invoice_date	po_number	model_id	serial_number	unit_remarks1	amount	unit_remarks3	unit_remarks2
S/I-005354	15-Jul-19	P1900139	Sokkia NET1AXTIIT/TE2	KH0417	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	Fort Canning MRT Stn (Stn 2)	"The Legend
(Liang Court)"
S/I-002963	31-Dec-18	P1800229	Sokkia NET1AXTIIT/TE2	KH0351	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	Fort Canning MRT Stn (Stn 3)	"The Legend
(Liang Court)"
79704	22-Dec-11	P11185	Sokkia NET1AX	101233	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	TWRP DTSS T08 Tunnel (Z Shaft - Stn 1)	TWRP DTSS T08 
75046	17-Feb-11	P11028	Sokkia NET1m-II	103109	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $22,575.00 	TWRP DTSS T08 Tunnel (Z Shaft - Stn 2)	TWRP DTSS T08 
61341	2-May-08	P08078	Sokkia NET1m	101565	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131 cable"	 $21,500.00 	TWRP DTSS T08 Tunnel (Zi Shaft - Stn 3)	TWRP DTSS T08 
61888	16-Jun-08	P08102	Sokkia NET1m-II	101751	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	TWRP DTSS T08 Tunnel (Zi Shaft - Stn 4)	TWRP DTSS T08 
85999	3-Jan-13	P1200199	Sokkia NET1AX	102171	"SOKKIA NET1AXT51TM-21 Automated 3-D Station Complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $26,250.00 	YSF Corporation (HK)	YSF Corporation (HK)
MSP-0001	30-Nov-12	P1200192	Sokkia NET1AX	102181	NET1AXT11T-21W (212021BA0) 3D Station	 USD 23,500.00 	YSF Corporation (HK)	YSF Corporation (HK)
MSP-0006	27-Mar-13	P1300060	Sokkia NET1AX	102288	NET1AXT11T-21W (212021BA0) 3D Station	 USD 20,000.00 	YSF Corporation (HK)	YSF Corporation (HK)
59580	28-Dec-07	P07122	Sokkia NET1m	101018	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131 cable"	 $21,500.00 	Servicing	12-Dec-23
59580	28-Dec-07	P07122	Sokkia NET1m	101143	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131A cable"	 $21,500.00 	Servicing	12-Dec-23
61341	2-May-08	P08078	Sokkia NET1m	101552	"SOKKIA NET-1M Mono Mobile 3-D Station Complete with:
2 x rechargeable battery
1 x charger
1 x EDC131 cable"	 $21,500.00 	Servicing	03-Jun-25
61888	16-Jun-08	P08102	Sokkia NET1m-II	101845	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	Servicing	27-Mar-25
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102287	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	Servicing	27-Mar-25
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102290	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	Servicing	05-Aug-24
68282	17-Sep-09	P09107	Sokkia NET1m-II	102684	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	Servicing	05-Aug-24
74930	10-Feb-11	P11013	Sokkia NET1m-II	103166	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $22,575.00 	Servicing	15-Dec-23
S/I-002963	31-Dec-18	P1800229	Sokkia NET1AXTIIT/TE2	KH0319	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	Servicing	19-Dec-25
S/I-002963	31-Dec-18	P1800229	Sokkia NET1AXTIIT/TE2	KH0358	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	Servicing	24-Dec-25
TSP20/80790	10-Mar-21	P210053	Sokkia NET1AXTIIT/TE2	KH0624	NET1AXIIT/TE Measuring Station	 USD 14,500.00 	Servicing	19-Dec-25
S/D - 018045	11-Oct-21	P210121	Sokkia IX-1001	UR005894	"Sokkia IX-1001 / SPBWT robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable"	 $11,215.00 	Servicing	24-Dec-25
S/I-007002	6-Dec-19	P1900239	Sokkia NET1AXTIIT/TE2	KH0471	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $21,300.00 	Global Sinotrust Pte Ltd	Loan to Global SinoTrust Pte Ltd on 14/11/2024
